player,opp,surface,indoor,tourney_date,best_of,ace,df,svpt,svgms,tourney_name,round,score,won,sv_1in,sv_1won,sv_2won,bp_saved,bp_faced,rank,opp_rank
Malek Jaziri,Ramkumar Ramanathan,Hard,O,20181231,3,6.0,6.0,143.0,16.0,Pune,R16,6-7(6) 7-6(5) 6-3,1,78.0,59.0,29.0,8.0,10.0,45.0,132.0
Steve Darcis,Michael Mmoh,Hard,O,20181231,3,5.0,5.0,131.0,15.0,Pune,R16,4-6 7-6(4) 6-2,1,81.0,51.0,29.0,16.0,18.0,,103.0
Benoit Paire,Jiri Vesely,Hard,O,20181231,3,11.0,6.0,53.0,9.0,Pune,R16,6-4 6-2,1,22.0,20.0,17.0,3.0,4.0,52.0,89.0
Gilles Simon,Ilya Ivashka,Hard,O,20181231,3,9.0,2.0,107.0,13.0,Pune,R16,6-7(3) 6-2 6-1,1,62.0,42.0,29.0,6.0,6.0,30.0,91.0
Jaume Munar,Simone Bolelli,Hard,O,20181231,3,4.0,1.0,47.0,9.0,Pune,R16,7-5 6-0,1,36.0,29.0,5.0,0.0,1.0,81.0,141.0
Kevin Anderson,Laslo Djere,Hard,O,20181231,3,20.0,2.0,81.0,12.0,Pune,R16,7-6(3) 7-6(6),1,54.0,44.0,16.0,1.0,2.0,6.0,93.0
Ivo Karlovic,Ernests Gulbis,Hard,O,20181231,3,25.0,4.0,83.0,12.0,Pune,QF,7-6(5) 7-6(5),1,60.0,51.0,12.0,3.0,3.0,100.0,95.0
Steve Darcis,Malek Jaziri,Hard,O,20181231,3,1.0,0.0,65.0,10.0,Pune,QF,7-5 6-2,1,42.0,27.0,16.0,3.0,4.0,,45.0
Gilles Simon,Benoit Paire,Hard,O,20181231,3,4.0,4.0,104.0,15.0,Pune,QF,3-6 7-6(4) 6-4,1,74.0,54.0,13.0,8.0,11.0,30.0,52.0
Kevin Anderson,Jaume Munar,Hard,O,20181231,3,14.0,1.0,51.0,9.0,Pune,QF,6-3 6-3,1,33.0,27.0,9.0,1.0,2.0,6.0,81.0
Ivo Karlovic,Steve Darcis,Hard,O,20181231,3,33.0,4.0,89.0,16.0,Pune,SF,7-6(3) 4-6 6-3,1,58.0,52.0,17.0,1.0,2.0,100.0,
Kevin Anderson,Gilles Simon,Hard,O,20181231,3,21.0,2.0,86.0,11.0,Pune,SF,6-3 7-6(3),1,54.0,43.0,14.0,9.0,10.0,6.0,30.0
Kevin Anderson,Ivo Karlovic,Hard,O,20181231,3,21.0,6.0,104.0,18.0,Pune,F,7-6(4) 6-7(2) 7-6(5),1,65.0,57.0,26.0,0.0,0.0,6.0,100.0
Peter Gojowczyk,Guido Pella,Hard,O,20190107,3,6.0,8.0,90.0,12.0,Auckland,R32,6-1 3-6 6-2,1,44.0,29.0,25.0,5.0,7.0,60.0,66.0
Philipp Kohlschreiber,Bradley Klahn,Hard,O,20190107,3,0.0,1.0,61.0,11.0,Auckland,R32,6-4 7-6(2),1,35.0,27.0,18.0,0.0,1.0,34.0,76.0
